"date","geography","geography code","Rural Urban","Sex: All persons; Industry: All categories: Industry; measures: Value","Sex: All persons; Industry: A Agriculture, forestry and fishing; measures: Value","Sex: All persons; Industry: B Mining and quarrying; measures: Value","Sex: All persons; Industry: C Manufacturing; measures: Value","Sex: All persons; Industry: D Electricity, gas, steam and air conditioning supply ; measures: Value","Sex: All persons; Industry: E Water supply; sewerage, waste management and remediation activities; measures: Value","Sex: All persons; Industry: F Construction; measures: Value","Sex: All persons; Industry: G Wholesale and retail trade; repair of motor vehicles and motor cycles; measures: Value","Sex: All persons; Industry: H Transport and storage; measures: Value","Sex: All persons; Industry: I Accommodation and food service activities; measures: Value","Sex: All persons; Industry: J Information and communication; measures: Value","Sex: All persons; Industry: K Financial and insurance activities; measures: Value","Sex: All persons; Industry: L Real estate activities; measures: Value","Sex: All persons; Industry: M Professional, scientific and technical activities; measures: Value","Sex: All persons; Industry: N Administrative and support service activities; measures: Value","Sex: All persons; Industry: O Public administration and defence; compulsory social security; measures: Value","Sex: All persons; Industry: P Education; measures: Value","Sex: All persons; Industry: Q Human health and social work activities; measures: Value","Sex: All persons; Industry: R, S, T, U Other; measures: Value","Sex: Males; Industry: All categories: Industry; measures: Value","Sex: Males; Industry: A Agriculture, forestry and fishing; measures: Value","Sex: Males; Industry: B Mining and quarrying; measures: Value","Sex: Males; Industry: C Manufacturing; measures: Value","Sex: Males; Industry: D Electricity, gas, steam and air conditioning supply ; measures: Value","Sex: Males; Industry: E Water supply; sewerage, waste management and remediation activities; measures: Value","Sex: Males; Industry: F Construction; measures: Value","Sex: Males; Industry: G Wholesale and retail trade; repair of motor vehicles and motor cycles; measures: Value","Sex: Males; Industry: H Transport and storage; measures: Value","Sex: Males; Industry: I Accommodation and food service activities; measures: Value","Sex: Males; Industry: J Information and communication; measures: Value","Sex: Males; Industry: K Financial and insurance activities; measures: Value","Sex: Males; Industry: L Real estate activities; measures: Value","Sex: Males; Industry: M Professional, scientific and technical activities; measures: Value","Sex: Males; Industry: N Administrative and support service activities; measures: Value","Sex: Males; Industry: O Public administration and defence; compulsory social security; measures: Value","Sex: Males; Industry: P Education; measures: Value","Sex: Males; Industry: Q Human health and social work activities; measures: Value","Sex: Males; Industry: R, S, T, U Other; measures: Value","Sex: Females; Industry: All categories: Industry; measures: Value","Sex: Females; Industry: A Agriculture, forestry and fishing; measures: Value","Sex: Females; Industry: B Mining and quarrying; measures: Value","Sex: Females; Industry: C Manufacturing; measures: Value","Sex: Females; Industry: D Electricity, gas, steam and air conditioning supply ; measures: Value","Sex: Females; Industry: E Water supply; sewerage, waste management and remediation activities; measures: Value","Sex: Females; Industry: F Construction; measures: Value","Sex: Females; Industry: G Wholesale and retail trade; repair of motor vehicles and motor cycles; measures: Value","Sex: Females; Industry: H Transport and storage; measures: Value","Sex: Females; Industry: I Accommodation and food service activities; measures: Value","Sex: Females; Industry: J Information and communication; measures: Value","Sex: Females; Industry: K Financial and insurance activities; measures: Value","Sex: Females; Industry: L Real estate activities; measures: Value","Sex: Females; Industry: M Professional, scientific and technical activities; measures: Value","Sex: Females; Industry: N Administrative and support service activities; measures: Value","Sex: Females; Industry: O Public administration and defence; compulsory social security; measures: Value","Sex: Females; Industry: P Education; measures: Value","Sex: Females; Industry: Q Human health and social work activities; measures: Value","Sex: Females; Industry: R, S, T, U Other; measures: Value"
"2011","Windsor and Maidenhead","E06000040","Total",73951,229,209,5524,499,446,4166,10216,4491,3796,7874,2482,1300,7667,4070,3606,7281,5688,4407,39677,153,156,3600,325,330,3546,5448,2984,1956,5328,1523,623,4098,2226,2328,1878,1120,2055,34274,76,53,1924,174,116,620,4768,1507,1840,2546,959,677,3569,1844,1278,5403,4568,2352
"2011","Wokingham","E06000041","Total",81377,264,249,5348,638,559,5387,11852,3044,2615,10267,3491,1050,8061,3766,4197,9351,7170,4068,43417,189,187,3703,510,369,4602,6418,2304,1215,7178,1979,508,4447,2142,2392,2215,1325,1734,37960,75,62,1645,128,190,785,5434,740,1400,3089,1512,542,3614,1624,1805,7136,5845,2334
"2011","Aylesbury Vale","E07000004","Total",90724,1168,59,7229,211,740,6945,14693,3884,3721,4892,3640,1280,6994,4514,6316,9308,10550,4580,48033,847,50,5337,179,560,6177,8040,3088,1741,3518,1930,607,3716,2503,3427,2300,2102,1911,42691,321,9,1892,32,180,768,6653,796,1980,1374,1710,673,3278,2011,2889,7008,8448,2669
"2011","Chiltern","E07000005","Total",44785,220,89,3029,129,236,3151,6488,1698,1634,3442,2301,931,5366,2174,1728,5042,4571,2556,23819,161,72,2083,103,183,2659,3579,1285,776,2444,1545,478,3006,1234,985,1203,903,1120,20966,59,17,946,26,53,492,2909,413,858,998,756,453,2360,940,743,3839,3668,1436
"2011","South Bucks","E07000006","Total",33117,113,116,2514,187,207,2593,4819,2020,1617,2774,1311,660,3419,1665,1382,2947,3054,1719,17798,62,97,1655,135,176,2154,2635,1392,825,1893,813,335,1884,865,747,712,653,765,15319,51,19,859,52,31,439,2184,628,792,881,498,325,1535,800,635,2235,2401,954
"2011","Wycombe","E07000007","Total",86350,332,100,7723,225,863,6239,14830,3854,3888,6634,2654,1320,7779,4355,4343,8437,8218,4556,46614,222,80,5466,162,596,5395,8153,3031,1904,4651,1509,624,4152,2447,2527,2153,1493,2049,39736,110,20,2257,63,267,844,6677,823,1984,1983,1145,696,3627,1908,1816,6284,6725,2507
"2011","Eastbourne","E07000061","Total",44449,88,12,2390,140,291,3640,8153,1929,3245,951,1451,652,2005,1934,2216,4793,8197,2362,23000,64,11,1869,125,258,3310,4348,1565,1614,707,764,334,1054,1176,1171,1470,2094,1066,21449,24,1,521,15,33,330,3805,364,1631,244,687,318,951,758,1045,3323,6103,1296
"2011","Hastings","E07000062","Total",40671,142,27,2828,135,258,3978,6747,1694,2273,972,1345,563,1852,1626,2830,3834,7497,2070,21034,108,21,2038,124,237,3626,3669,1395,1085,713,649,275,931,984,1345,1157,1728,949,19637,34,6,790,11,21,352,3078,299,1188,259,696,288,921,642,1485,2677,5769,1121
"2011","Lewes","E07000063","Total",45532,386,20,2771,151,444,3947,6657,2203,2267,1577,2111,748,2957,2048,2799,5359,6267,2820,23693,296,20,2022,109,358,3531,3581,1714,1046,1106,1158,347,1587,1201,1490,1625,1294,1208,21839,90,0,749,42,86,416,3076,489,1221,471,953,401,1370,847,1309,3734,4973,1612
"2011","Rother","E07000064","Total",37583,670,29,2135,162,266,3798,5595,1422,2123,1054,1743,637,2499,1747,2051,3742,5721,2189,19827,478,27,1592,146,235,3406,3113,1122,929,734,1003,288,1358,1074,1115,1024,1198,985,17756,192,2,543,16,31,392,2482,300,1194,320,740,349,1141,673,936,2718,4523,1204
"2011","Wealden","E07000065","Total",71084,1120,52,4403,246,452,7232,11175,2668,3423,2460,3637,1137,5501,3467,3310,7026,9538,4237,37600,782,45,3233,199,385,6313,6135,2028,1537,1782,2225,541,2948,2142,1848,1819,1963,1675,33484,338,7,1170,47,67,919,5040,640,1886,678,1412,596,2553,1325,1462,5207,7575,2562
"2011","Basingstoke and Deane","E07000084","Total",90122,669,93,8637,946,553,6861,15247,3713,3789,8435,4553,1105,6272,4813,4889,6861,8648,4038,47831,482,68,5931,509,451,5839,8145,2804,1674,5573,2255,453,3401,2591,2945,1498,1585,1627,42291,187,25,2706,437,102,1022,7102,909,2115,2862,2298,652,2871,2222,1944,5363,7063,2411
"2011","East Hampshire","E07000085","Total",58457,750,83,5040,319,331,4800,8588,2001,2496,3545,2117,824,4958,3073,3769,6156,6446,3161,31065,514,66,3622,249,282,4213,4608,1567,1133,2558,1159,378,2732,1705,2442,1472,1150,1215,27392,236,17,1418,70,49,587,3980,434,1363,987,958,446,2226,1368,1327,4684,5296,1946
"2011","Eastleigh","E07000086","Total",65768,172,50,5851,355,381,5810,10851,3764,2773,3008,3281,856,4294,3042,4139,6292,7781,3068,34313,114,42,4505,253,297,5070,5810,2827,1250,2239,1403,350,2242,1671,2080,1649,1391,1120,31455,58,8,1346,102,84,740,5041,937,1523,769,1878,506,2052,1371,2059,4643,6390,1948
"2011","Fareham","E07000087","Total",56445,149,35,5581,403,366,4506,8331,2886,2357,2513,2368,697,3487,2571,5887,5587,6329,2392,29604,96,30,4257,280,282,3877,4195,2139,1009,1855,1022,297,1877,1418,3515,1404,1088,963,26841,53,5,1324,123,84,629,4136,747,1348,658,1346,400,1610,1153,2372,4183,5241,1429
"2011","Gosport","E07000088","Total",40063,40,21,4219,281,282,3056,5856,2008,2099,1021,1053,421,1452,2198,6076,3297,4960,1723,21343,30,21,3269,217,234,2744,2708,1606,919,686,393,195,729,1230,4016,844,851,651,18720,10,0,950,64,48,312,3148,402,1180,335,660,226,723,968,2060,2453,4109,1072
