"date","geography","geography code","Rural Urban","Hours Worked: All usual residents aged 16 to 74 in employment the week before the census; measures: Value","Hours Worked: Part-time: 15 hours or less worked; measures: Value","Hours Worked: Part-time: 16 to 30 hours worked; measures: Value","Hours Worked: Full-time: 31 to 48 hours worked; measures: Value","Hours Worked: Full-time: 49 or more hours worked; measures: Value","Hours Worked: Males: Total; measures: Value","Hours Worked: Males: Part-time: 15 hours or less worked; measures: Value","Hours Worked: Males: Part-time: 16 to 30 hours worked; measures: Value","Hours Worked: Males: Full-time: 31 to 48 hours worked; measures: Value","Hours Worked: Males: Full-time: 49 or more hours worked; measures: Value","Hours Worked: Females: Total; measures: Value","Hours Worked: Females: Part-time: 15 hours or less worked; measures: Value","Hours Worked: Females: Part-time: 16 to 30 hours worked; measures: Value","Hours Worked: Females: Full-time: 31 to 48 hours worked; measures: Value","Hours Worked: Females: Full-time: 49 or more hours worked; measures: Value"
"2011","Hambleton","E07000164","Total",45255,4589,8588,23800,8278,24165,1270,1848,14417,6630,21090,3319,6740,9383,1648
"2011","Harrogate","E07000165","Total",81402,8203,15453,43991,13755,42975,2499,3465,26209,10802,38427,5704,11988,17782,2953
"2011","Richmondshire","E07000166","Total",27795,2295,4660,13480,7360,16441,672,1034,8438,6297,11354,1623,3626,5042,1063
"2011","Ryedale","E07000167","Total",25504,2877,5219,12903,4505,13485,721,1187,8052,3525,12019,2156,4032,4851,980
"2011","Scarborough","E07000168","Total",48359,5204,11773,24689,6693,25032,1604,3105,15245,5078,23327,3600,8668,9444,1615
"2011","Selby","E07000169","Total",43286,3838,8283,24764,6401,22666,1054,1570,14981,5061,20620,2784,6713,9783,1340
"2011","Barnsley","E08000016","Total",103579,8086,22357,61102,12034,54347,2274,4941,37371,9761,49232,5812,17416,23731,2273
"2011","Doncaster","E08000017","Total",133815,11238,29342,78014,15221,71019,3400,7072,48221,12326,62796,7838,22270,29793,2895
"2011","Rotherham","E08000018","Total",114871,9645,25564,66799,12863,60668,2776,5894,41563,10435,54203,6869,19670,25236,2428
"2011","Sheffield","E08000019","Total",244318,26473,53568,140545,23732,127532,9296,14941,85199,18096,116786,17177,38627,55346,5636
